                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     400                                     1644                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.5863810322148944E+006                  3.4370884531161800E+005                  4.9113325151395315E+004                  1.7752468850768444E-001                  5.8275973776231475E-003                  2.3318633527444968E+002                  9.6478871476101846E-048                  6.6054447936691665E-027                  2.0736189001071127E-031                  9.1765371744868637E-002                  2.4285723464496346E-016                  5.0125262248130142E-001                  3.5123401558770329E-001                  1.1712978546040329E+000                  0.0000000000000000E+000                  1.7543427264784616E-029                  1.2485278584637085E-024                  1.3981796232119601E-007                  3.5259009542396379E-002                  8.2620094298428126E-017                  5.2881748182100285E-001                  5.2307789903805968E-001                  0.0000000000000000E+000                  1.1712978546040329E+000                  1.0191441290442238E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1712978546040329E+000                  5.8273766754369828E-003                  4.1156099299434565E+000                  3.1129054952187408E+010                  6.5979434435302864E+010                  1.0850406614357061E-012                  5.9882081237750120E-025                  3.2531569956232073E-026                  7.4157897888029889E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.1621400530410375E+013 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.1712978546040329E+000                 -2.2345104607999104E+000                  4.7154276229177672E+000                 -6.9622365650489995E+000                  5.2667543845458464E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       2                  1.1712978546040329E+000                 -2.2345104718635471E+000                  4.7154295351497373E+000                 -6.9587777252821876E+000                  5.2697991365866175E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       3                  1.1712978546040329E+000                 -2.2345104877004194E+000                  4.7154318125695216E+000                 -6.9547260538670530E+000                  5.2733685976521922E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       4                  1.1712978546040329E+000                 -2.2345105033902311E+000                  4.7154346824631572E+000                 -6.9497126341180779E+000                  5.2777895604485519E+000                  1.0037458330480958E-022                  3.1308189434622641E-004                  9.9968691810565380E-001 
                                       5                  1.1712978546040329E+000                 -2.2345105266548360E+000                  4.7154381679183270E+000                 -6.9437699266743760E+000                  5.2830359887017737E+000                  1.0037458330480958E-022                  3.1308189434622641E-004                  9.9968691810565380E-001 
                                       6                  1.1712978546040329E+000                 -2.2345105496032684E+000                  4.7154440462147038E+000                 -6.9340378661779383E+000                  5.2916416072518047E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       7                  1.1712978546040329E+000                 -2.2345106019630547E+000                  4.7154525015862250E+000                 -6.9207599088028946E+000                  5.3034099998719126E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       8                  1.1712978546040329E+000                 -2.2345106527462550E+000                  4.7154642823247741E+000                 -6.9033490151236441E+000                  5.3188878311782632E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                       9                  1.1712978546040329E+000                 -2.2345107363821244E+000                  4.7154798231351709E+000                 -6.8822845315030463E+000                  5.3376819176808654E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
