# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606mF814    F814       F606     comp     cumweight      pos
   -0.0364    24.5443    24.5079    95.5632   112.9259        109
   -0.0364    24.5443    24.5079    95.5632   113.9724        110
    0.6568    24.5702    25.2270    95.4855   115.0197        111
   -0.0761    24.5806    24.5045    95.4543   116.0673        112
    0.0370    24.5856    24.6226    95.4394   117.1151        113
   -0.0244    24.5913    24.5670    95.4220   118.1630        114
   -0.0316    24.5951    24.5635    95.4107   119.2111        115
   -0.0653    24.6045    24.5392    95.3825   120.2596        116
   -0.0653    24.6045    24.5392    95.3825   121.3080        117
   -0.0340    24.6114    24.5774    95.3618   122.3566        118
   -0.0340    24.6114    24.5774    95.3618   123.4052        119
   -0.0244    24.6226    24.5983    95.3281   124.4542        120
   -0.0244    24.6226    24.5983    95.3281   125.5033        121
   -0.0520    24.6399    24.5878    95.2763   126.5528        122
   -0.0520    24.6399    24.5878    95.2763   127.6024        123
   -0.1592    24.6462    24.4871    95.2571   128.6522        124
   -0.0520    24.6538    24.6017    95.2345   129.7022        125
   -0.0520    24.6538    24.6017    95.2345   130.7523        126
   -0.0400    24.6626    24.6226    95.2081   131.8026        127
   -0.0400    24.6626    24.6226    95.2081   132.8529        128
   -0.0159    24.6663    24.6504    95.1969   133.9034        129
   -0.0159    24.6663    24.6504    95.1969   134.9539        130
   -0.0087    24.6799    24.6712    95.1560   136.0048        131
   -0.0087    24.6799    24.6712    95.1560   137.0557        132
   -0.0352    24.6856    24.6504    95.1261   138.1069        133
   -0.0352    24.6856    24.6504    95.1261   139.1581        134
   -0.0256    24.7002    24.6747    95.0278   140.2105        135
    0.0707    24.7186    24.7893    94.9050   141.2641        136
    0.0707    24.7186    24.7893    94.9050   142.3178        137
    0.6267    24.7219    25.3486    94.8831   143.3718        138
    0.0382    24.7268    24.7650    94.8503   144.4261        139
    0.1911    24.7337    24.9248    94.8038   145.4809        140
    0.1911    24.7337    24.9248    94.8038   146.5357        141
   -0.0111    24.7379    24.7268    94.7758   147.5908        142
    0.0358    24.7396    24.7754    94.7644   148.6460        143
    1.2104    24.7461    25.9565    94.7210   149.7018        144
    0.0178    24.7542    24.7719    94.6669   150.7581        145
    0.0178    24.7542    24.7719    94.6669   151.8144        146
    0.0202    24.7761    24.7963    94.5203   152.8724        147
    0.0262    24.7840    24.8102    94.4675   153.9310        148
    0.0262    24.7840    24.8102    94.4675   154.9895        149
    0.0972    24.8068    24.9040    94.3150   156.0498        150
    0.0442    24.8076    24.8518    94.3094   157.1102        151
    0.0442    24.8076    24.8518    94.3094   158.1705        152
    0.0755    24.8180    24.8935    94.2586   159.2314        153
    0.0527    24.8235    24.8762    94.2625   160.2923        154
    0.0840    24.8339    24.9178    94.2700   161.3531        155
    0.0840    24.8339    24.9178    94.2700   162.4138        156
    0.3162    24.8344    25.1506    94.2704   163.4746        157
    0.0166    24.8353    24.8518    94.2710   164.5354        158
    0.0166    24.8353    24.8518    94.2710   165.5962        159
    0.0767    24.8689    24.9456    94.2953   166.6567        160
    0.0767    24.8689    24.9456    94.2953   167.7172        161
    0.0791    24.8734    24.9526    94.2986   168.7776        162
    0.1152    24.8929    25.0082    94.3126   169.8379        163
    0.2825    24.8959    25.1784    94.3147   170.8982        164
    0.1225    24.8961    25.0186    94.3149   171.9585        165
    0.0214    24.8965    24.9178    94.3152   173.0188        166
    0.0214    24.8965    24.9178    94.3152   174.0790        167
    0.0659    24.9041    24.9700    94.3206   175.1393        168
    0.0659    24.9041    24.9700    94.3206   176.1995        169
    0.0587    24.9043    24.9630    94.3208   177.2597        170
    0.0587    24.9043    24.9630    94.3208   178.3199        171
    0.1140    24.9150    25.0290    94.3285   179.3800        172
    0.1140    24.9150    25.0290    94.3285   180.4401        173
    0.0743    24.9165    24.9908    94.3296   181.5002        174
    0.0743    24.9165    24.9908    94.3296   182.5604        175
    0.1261    24.9168    25.0429    94.3299   183.6205        176
    0.1742    24.9277    25.1020    94.3377   184.6805        177
    0.1116    24.9591    25.0707    94.3603   185.7403        178
    0.1116    24.9591    25.0707    94.3603   186.8000        179
    0.1152    24.9624    25.0776    94.3491   187.8599        180
    0.1152    24.9624    25.0776    94.3491   188.9198        181
    0.0551    24.9635    25.0186    94.3450   189.9798        182
    0.0551    24.9635    25.0186    94.3450   191.0397        183
    0.0731    24.9663    25.0394    94.3350   192.0997        184
    0.0731    24.9663    25.0394    94.3350   193.1598        185
    0.0924    24.9714    25.0638    94.3168   194.2201        186
    0.0924    24.9714    25.0638    94.3168   195.2803        187
    0.0731    24.9733    25.0464    94.3100   196.3406        188
    0.0731    24.9733    25.0464    94.3100   197.4010        189
    0.8638    24.9850    25.8488    94.2676   198.4618        190
    0.1405    24.9892    25.1298    94.2525   199.5228        191
    0.1405    24.9892    25.1298    94.2525   200.5837        192
    0.0900    24.9911    25.0811    94.2456   201.6448        193
    0.0900    24.9911    25.0811    94.2456   202.7059        194
    0.1140    24.9949    25.1089    94.2322   203.7671        195
    0.0912    25.0004    25.0915    94.2124   204.8285        196
    0.0912    25.0004    25.0915    94.2124   205.8899        197
    0.1032    25.0057    25.1089    94.1932   206.9516        198
    0.1032    25.0057    25.1089    94.1932   208.0132        199
    0.0840    25.0076    25.0915    94.1864   209.0750        200
    0.0840    25.0076    25.0915    94.1864   210.1367        201
    0.0635    25.0107    25.0742    94.1753   211.1985        202
