# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606-F814    F814       F606     comp     cumweight      origpos      xraw       yraw     pos
    0.3993    24.3866    24.7858    95.7733    88.8965       1936        967       1694         86
    0.1694    24.3872    24.5566    95.7737    89.9407        511        776       1760         87
   -0.0942    24.3971    24.3030    95.7817    90.9847       1301        557       1833         88
   -0.0942    24.3971    24.3030    95.7817    92.0288       1932        557       1833         89
   -0.0557    24.4073    24.3516    95.7838    93.0728       1970        589       1819         90
   -0.0557    24.4073    24.3516    95.7838    94.1168       1856        589       1819         91
   -0.0460    24.4150    24.3690    95.7715    95.1609         45        597       1814         92
   -0.0869    24.4177    24.3308    95.7671    96.2051       1922        563       1825         93
   -0.0869    24.4177    24.3308    95.7671    97.2493       1195        563       1825         94
   -0.0845    24.4188    24.3342    95.7654    98.2936       1032        565       1824         95
   -0.0845    24.4188    24.3342    95.7654    99.3378       1909        565       1824         96
   -0.0689    24.4379    24.3690    95.7348   100.3823       1158        578       1814         97
   -0.0689    24.4379    24.3690    95.7348   101.4269       1919        578       1814         98
   -0.0869    24.4420    24.3551    95.7282   102.4715       1963        563       1818         99
   -0.0460    24.4463    24.4002    95.7214   103.5162         27        597       1805        100
   -0.0207    24.4488    24.4280    95.7174   104.5609        496        618       1797        101
   -0.0316    24.4492    24.4176    95.7167   105.6057         69        609       1800        102
   -0.0821    24.4824    24.4002    95.6636   106.6510       1929        567       1805        103
   -0.0821    24.4824    24.4002    95.6636   107.6964       1251        567       1805        104
    0.0093    24.4847    24.4940    95.6599   108.7417        645        643       1778        105
    0.0093    24.4847    24.4940    95.6599   109.7871       1882        643       1778        106
   -0.0701    24.5329    24.4628    95.5827   110.8333       1418        577       1787        107
   -0.0701    24.5329    24.4628    95.5827   111.8795       1942        577       1787        108
   -0.0364    24.5443    24.5079    95.5632   112.9259       1879        605       1774        109
   -0.0364    24.5443    24.5079    95.5632   113.9724        619        605       1774        110
    0.6568    24.5702    25.2270    95.4855   115.0197       1874       1181       1567        111
   -0.0761    24.5806    24.5045    95.4543   116.0673        598        572       1775        112
    0.0370    24.5856    24.6226    95.4394   117.1151        137        666       1741        113
   -0.0244    24.5913    24.5670    95.4220   118.1630        526        615       1757        114
   -0.0316    24.5951    24.5635    95.4107   119.2111        216        609       1758        115
   -0.0653    24.6045    24.5392    95.3825   120.2596       1297        581       1765        116
   -0.0653    24.6045    24.5392    95.3825   121.3080       1930        581       1765        117
   -0.0340    24.6114    24.5774    95.3618   122.3566        727        607       1754        118
   -0.0340    24.6114    24.5774    95.3618   123.4052       1888        607       1754        119
   -0.0244    24.6226    24.5983    95.3281   124.4542       1933        615       1748        120
   -0.0244    24.6226    24.5983    95.3281   125.5033       1324        615       1748        121
   -0.0520    24.6399    24.5878    95.2763   126.5528       1917        592       1751        122
   -0.0520    24.6399    24.5878    95.2763   127.6024       1142        592       1751        123
   -0.1592    24.6462    24.4871    95.2571   128.6522        689        503       1780        124
   -0.0520    24.6538    24.6017    95.2345   129.7022       1934        592       1747        125
   -0.0520    24.6538    24.6017    95.2345   130.7523       1306        592       1747        126
   -0.0400    24.6626    24.6226    95.2081   131.8026       1543        602       1741        127
   -0.0400    24.6626    24.6226    95.2081   132.8529       1947        602       1741        128
   -0.0159    24.6663    24.6504    95.1969   133.9034        703        622       1733        129
   -0.0159    24.6663    24.6504    95.1969   134.9539       1886        622       1733        130
   -0.0087    24.6799    24.6712    95.1560   136.0048       1948        628       1727        131
   -0.0087    24.6799    24.6712    95.1560   137.0557       1527        628       1727        132
   -0.0352    24.6856    24.6504    95.1261   138.1069       1891        606       1733        133
   -0.0352    24.6856    24.6504    95.1261   139.1581        761        606       1733        134
   -0.0256    24.7002    24.6747    95.0278   140.2105       1876        614       1726        135
    0.0707    24.7186    24.7893    94.9050   141.2641       1294        694       1693        136
